time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-09T14:57:07.348Z,44.3126,-115.1708,10,2.3,ml,,65,0.815,0.93,us,us7000h84z,2022-05-09T16:22:40.267Z,"21 km WNW of Stanley, Idaho",earthquake,1.5,2,0.081,20,reviewed,us,us
2022-05-09T14:56:30.040Z,38.8346672,-122.8161697,1.6,1.18,md,15,60,0.01222,0.02,nc,nc73731311,2022-05-09T18:13:15.220Z,"8km W of Cobb, CA",earthquake,0.28,0.71,,1,automatic,nc,nc
2022-05-09T14:54:50.120Z,38.8398323,-122.8103333,2.05,0.36,md,10,61,0.01568,0.01,nc,nc73731306,2022-05-09T15:11:23.068Z,"8km WNW of Cobb, CA",earthquake,0.3,0.94,,1,automatic,nc,nc
2022-05-09T14:49:13.382Z,-20.3328,-68.855,118.54,4.2,mb,,61,0.338,0.29,us,us7000h84y,2022-05-09T15:14:13.040Z,"135 km E of Iquique, Chile",earthquake,5.8,5.8,0.199,9,reviewed,us,us
2022-05-09T14:16:45.090Z,37.666,-118.8496667,1.11,0.53,md,11,103,0.03006,0.06,nc,nc73731296,2022-05-09T18:03:15.164Z,"12km ENE of Mammoth Lakes, CA",earthquake,0.2,0.71,0.154,8,reviewed,nc,nc
2022-05-09T14:15:02.800Z,-16.9728,-173.3915,35,4.8,mb,,67,3.418,0.69,us,us7000h842,2022-05-09T15:01:24.040Z,"120 km SSE of Hihifo, Tonga",earthquake,10,1.9,0.079,52,reviewed,us,us
2022-05-09T14:11:40.590Z,38.7890015,-122.7630005,1.84,0.98,md,13,77,0.01838,0.02,nc,nc73731291,2022-05-09T14:38:14.843Z,"1km NNW of The Geysers, CA",earthquake,0.29,0.64,0.16,4,automatic,nc,nc
2022-05-09T14:11:17.810Z,38.7896652,-122.7626648,2.36,1.18,md,11,80,0.01118,0.02,nc,nc73731286,2022-05-09T17:47:24.063Z,"2km NNW of The Geysers, CA",earthquake,0.36,0.82,,1,automatic,nc,nc
2022-05-09T14:10:53.790Z,38.7886658,-122.7606659,1.49,2.19,md,43,61,0.01196,0.06,nc,nc73731281,2022-05-09T17:46:10.055Z,"1km NNW of The Geysers, CA",earthquake,0.18,0.27,0.16,18,automatic,nc,nc
2022-05-09T14:09:21.403Z,24.026,122.5561,35.25,4.6,mb,,73,0.604,0.5,us,us7000h840,2022-05-09T14:56:04.040Z,"66 km SW of Yonakuni, Japan",earthquake,5.1,7.2,0.111,26,reviewed,us,us
2022-05-09T13:57:38.950Z,44.7471667,-111.076,11.12,0.81,ml,13,98,0.05123,0.11,uu,uu60496742,2022-05-09T15:55:31.210Z,"9 km ESE of Hebgen Lake Estates, Montana",earthquake,0.37,0.88,0.243,2,reviewed,uu,uu
2022-05-09T13:56:05.681Z,38.1678,-117.8639,3.3,1.3,ml,8,172.05,0.081,0.1317,nn,nn00838535,2022-05-09T16:59:45.326Z,"32 km SE of Mina, Nevada",earthquake,,3.4,0.05,3,reviewed,nn,nn
2022-05-09T13:50:52.630Z,44.7435,-111.0775,11.01,0.97,ml,14,93,0.05324,0.16,uu,uu60496737,2022-05-09T16:09:27.090Z,"9 km NNE of West Yellowstone, Montana",earthquake,0.48,0.99,0.122,2,reviewed,uu,uu
2022-05-09T13:50:35.420Z,45.73266666666667,-122.49683333333333,15.15,1.4000000000000001,ml,26,66,0.1217,0.21,uw,uw61829707,2022-05-09T18:05:49.190Z,"0 km SW of Hockinson, Washington",earthquake,0.42,1.35,0.19459007789043126,15,reviewed,uw,uw
2022-05-09T13:44:10.819Z,62.3175,-150.9678,73.6,1.7,ml,,,,0.48,ak,ak0225xkbuwp,2022-05-09T13:55:57.347Z,"22 km SSW of Petersville, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-05-09T13:40:14.480Z,36.4351667,-117.9388333,10.94,1.7,ml,29,59,0.1141,0.14,ci,ci40254760,2022-05-09T17:04:08.070Z,"18km NNE of Olancha, CA",earthquake,0.2,0.59,0.192,18,reviewed,ci,ci
2022-05-09T13:11:54.950Z,13.9878,-91.4528,58.53,4.5,mb,,206,1.626,0.37,us,us7000h83s,2022-05-09T13:45:05.040Z,"28 km SW of Nueva Concepción, Guatemala",earthquake,8.1,25,0.27,4,reviewed,us,us
2022-05-09T13:10:35.570Z,37.2976685,-121.6673355,6.55,1.34,md,12,90,0.03889,0.05,nc,nc73731261,2022-05-09T16:40:15.638Z,"15km E of Seven Trees, CA",earthquake,0.36,0.68,0.08,10,automatic,nc,nc
2022-05-09T13:09:03.390Z,37.3803329,-118.8011703,9.88,2.23,md,26,75,0.1915,0.05,nc,nc73731256,2022-05-09T16:12:16.462Z,"18km WSW of Round Valley, CA",earthquake,0.3,1.88,0.24,28,automatic,nc,nc
2022-05-09T13:00:25.200Z,14.0283,-91.4215,68.57,4.6,mb,,155,1.598,0.59,us,us7000h83m,2022-05-09T16:55:36.540Z,"23 km SW of Nueva Concepción, Guatemala",earthquake,8.7,7.6,0.045,150,reviewed,us,us
2022-05-09T12:59:03.280Z,17.9516666666667,-66.845,13.92,2.26,md,5,212,,0.15,pr,pr71348068,2022-05-09T13:16:06.530Z,"5 km SSW of Indios, Puerto Rico",earthquake,1.21,0.86,0.0710120297501144,4,reviewed,pr,pr
